Keyword,Intents,Volume,Keyword Difficulty,CPC,Competition Density,dealcheck.io,bricked.ai,housecanary.com,dealcheck.io (pages),bricked.ai (pages),housecanary.com (pages),Results
home buyer leads for realtors,Informational,70,15,14.61,0.66,0,0,14,,,https://www.housecanary.com/blog/best-lead-generation-for-realtors,191
home canary,Navigational,70,17,13.77,0.66,0,0,1,,,https://www.housecanary.com/,170
home price prediction,Transactional,70,59,1.87,0.12,0,0,26,,,https://www.housecanary.com/blog/housing-market-predictions,135
home price predictions 2026,Transactional,70,50,0.00,0.01,0,0,22,,,https://www.housecanary.com/blog/housing-market-predictions,122
home price projections,Transactional,70,78,0.00,0.33,0,0,22,,,https://www.housecanary.com/blog/housing-market-predictions,134
home prices forecast,Transactional,70,55,2.08,0.07,0,0,22,,,https://www.housecanary.com/blog/housing-market-predictions,137
home prices forecast 2026,Transactional,70,49,3.39,0.07,0,0,18,,,https://www.housecanary.com/blog/housing-market-predictions,122
home resale value,Informational,70,77,4.74,0.30,0,0,57,,,https://www.housecanary.com/blog/what-is-the-value-of-my-home,139
home valuation api,Informational,70,23,4.15,0.63,0,0,2,,,https://www.housecanary.com/blog/real-estate-api,130
home value calculation,Informational,70,78,2.41,0.65,0,0,69,,,https://www.housecanary.com/blog/what-is-the-value-of-my-home,118
home value projections,Informational,70,69,1.92,0.22,0,0,24,,,https://www.housecanary.com/blog/housing-market-predictions,140
home's current market value,Informational,70,77,2.81,0.62,0,0,47,,,https://www.housecanary.com/blog/what-is-the-value-of-my-home,139
homeshare-admin.io docs api,Informational,70,22,0.00,0.00,0,0,70,,,https://api-docs.housecanary.com/,26000
hosue value,Informational,70,78,2.28,0.54,0,0,28,,,https://www.housecanary.com/blog/what-is-the-value-of-my-home,141
house and property values,Informational,70,66,2.53,0.51,0,0,24,,,https://www.housecanary.com/blog/what-is-the-value-of-my-home,2140
house canary ai,"Informational, Navigational",70,16,12.77,0.66,0,0,1,,,https://www.housecanary.com/,103
house canary reviews,Commercial,70,26,13.42,0.35,0,0,1,,,https://www.housecanary.com/,107
house careers,Commercial,70,19,0.00,0.04,0,0,33,,,https://www.housecanary.com/resources/careers,147
house value estimation,Informational,70,77,2.37,0.62,0,0,58,,,https://www.housecanary.com/blog/what-is-the-value-of-my-home,133
house whisper,Navigational,70,27,3.56,0.37,0,0,48,,,https://www.housecanary.com/,0
house whisperer ai,Informational,70,15,6.79,0.71,0,0,29,,,https://www.housecanary.com/,118
houseapp,Informational,70,18,1.46,0.39,0,0,34,,,https://www.housecanary.com/,109
housecall pro career,Commercial,70,26,2.22,0.02,0,0,53,,,https://www.housecanary.com/resources/careers,0
housecanary ai,Navigational,70,19,12.77,0.66,0,0,1,,,https://www.housecanary.com/,103
housegather,Navigational,70,33,3.88,0.34,0,0,12,,,https://www.housecanary.com/,111
housing market fl,Informational,70,63,1.67,0.12,0,0,22,,,https://www.housecanary.com/blog/florida-housing-market,130
housing market forecasts,Informational,70,70,1.84,0.15,0,0,19,,,https://www.housecanary.com/blog/housing-market-predictions,139
housing market is,Informational,70,75,0.55,0.08,0,0,45,,,https://www.housecanary.com/blog/real-estate-market-trends,133
housing market is crashing,Informational,70,32,0.00,0.01,0,0,12,,,https://www.housecanary.com/blog/is-the-housing-market-going-to-crash,110
housing market news florida,Informational,70,48,0.00,0.03,0,0,26,,,https://www.housecanary.com/blog/florida-housing-market,127
housing market news today april 2026,Informational,70,38,0.00,0.00,0,0,18,,,https://www.housecanary.com/blog/market-pulse-2026-april,754
housing market predictions 2022,Informational,70,44,0.00,0.33,0,0,18,,,https://www.housecanary.com/blog/housing-market-predictions,138
housing market projection 2026,Informational,70,53,1.40,0.17,0,0,23,,,https://www.housecanary.com/blog/housing-market-predictions,119
housing market will crash,Informational,70,33,2.62,0.01,0,0,35,,,https://www.housecanary.com/blog/is-the-housing-market-going-to-crash,132
housing outlook 2026,Informational,70,45,1.42,0.23,0,0,21,,,https://www.housecanary.com/blog/housing-market-predictions,108
housing price prediction,Transactional,70,61,1.87,0.12,0,0,21,,,https://www.housecanary.com/blog/housing-market-predictions,132
housing price prediction 2026,Informational,70,46,0.00,0.33,0,0,18,,,https://www.housecanary.com/blog/housing-market-predictions,123
housing prices in 2026,Transactional,70,46,0.00,0.01,0,0,22,,,https://www.housecanary.com/blog/housing-market-predictions,123
housing recession 2025,Informational,70,51,0.00,0.33,0,0,38,,,https://www.housecanary.com/blog/is-the-housing-market-going-to-crash,168
housing value predictions,Informational,70,74,1.79,0.06,0,0,21,,,https://www.housecanary.com/blog/housing-market-predictions,136
how can i check the value of my home,Informational,70,75,3.52,0.74,0,0,43,,,https://www.housecanary.com/blog/what-is-the-value-of-my-home,134
how can i estimate the value of my home,Informational,70,75,3.82,0.74,0,0,65,,,https://www.housecanary.com/blog/what-is-the-value-of-my-home,125
how companies get property data for real estate apps,Informational,70,10,0.00,0.00,0,0,6,,,https://www.housecanary.com/blog/real-estate-api,134
how do i check the value of my house,Informational,70,75,3.37,0.61,0,0,46,,,https://www.housecanary.com/blog/what-is-the-value-of-my-home,135
how do i know the value of my house,Informational,70,77,3.66,0.69,0,0,74,,,https://www.housecanary.com/blog/what-is-the-value-of-my-home,130
how do the smartest property managers track performance,Informational,70,4,0.00,0.00,0,0,22,,,https://www.housecanary.com/blog/how-to-proactively-track-investment-property-performance,137
how do you assume a loan,Informational,70,39,0.59,0.12,0,0,25,,,https://www.housecanary.com/blog/assumable-mortgage,133
how do you calculate rental yield,Informational,70,34,0.66,0.09,0,0,32,,,https://www.housecanary.com/blog/rental-yield,128
how do you determine fair rental value,Informational,70,25,2.86,0.22,0,0,44,,,https://www.housecanary.com/blog/find-perfect-rent-rate-housecanary-rental-cma,136
how do you work out rental yield,Informational,70,34,0.66,0.09,0,0,36,,,https://www.housecanary.com/blog/rental-yield,131
how does assumable loan work,Informational,70,52,0.42,0.21,0,0,22,,,https://www.housecanary.com/blog/assumable-mortgage,128
how much does canary cost,Informational,70,15,0.00,0.33,0,0,17,,,https://www.housecanary.com/pricing,187
how much house worth,Informational,70,76,3.19,0.63,0,0,52,,,https://www.housecanary.com/blog/what-is-the-value-of-my-home,140
how much is my house is worth,Informational,70,75,3.19,0.63,0,0,65,,,https://www.housecanary.com/blog/what-is-the-value-of-my-home,138
how much is the house worth,Informational,70,77,3.01,0.65,0,0,50,,,https://www.housecanary.com/blog/what-is-the-value-of-my-home,136
how much your house is worth,Informational,70,76,3.05,0.53,0,0,59,,,https://www.housecanary.com/blog/what-is-the-value-of-my-home,138
how to calculate arv real estate,Informational,70,23,1.57,0.52,0,0,16,,,https://www.housecanary.com/blog/arv,124
how to check house valuation,Informational,70,77,2.21,0.67,0,0,43,,,https://www.housecanary.com/blog/what-is-the-value-of-my-home,128
how to check my house value,Informational,70,76,2.77,0.67,0,0,60,,,https://www.housecanary.com/blog/what-is-the-value-of-my-home,133
how to determine how much my house is worth,Informational,70,76,4.40,0.76,0,0,73,,,https://www.housecanary.com/blog/what-is-the-value-of-my-home,132
how to determine the value of my home,Informational,70,76,2.91,0.59,0,0,60,,,https://www.housecanary.com/blog/what-is-the-value-of-my-home,129
how to do a competitive market analysis real estate,Informational,70,19,3.55,0.60,0,0,13,,,https://www.housecanary.com/blog/comparative-market-analysis-tool,188
how to estimate house value,Informational,70,77,2.14,0.54,0,0,61,,,https://www.housecanary.com/blog/what-is-the-value-of-my-home,126
how to figure out arv,Informational,70,10,1.61,0.43,0,0,22,,,https://www.housecanary.com/blog/arv,128
how to figure out rental yield,Informational,70,45,0.46,0.06,0,0,30,,,https://www.housecanary.com/blog/rental-yield,158
how to find a home's value,Informational,70,77,2.24,0.58,0,0,64,,,https://www.housecanary.com/blog/what-is-the-value-of-my-home,128
how to find house valuation,Informational,70,77,2.41,0.70,0,0,62,,,https://www.housecanary.com/blog/what-is-the-value-of-my-home,124
how to find my home's value,Informational,70,76,3.42,0.74,0,0,64,,,https://www.housecanary.com/blog/what-is-the-value-of-my-home,127
how to find the market value of a home,Informational,70,76,2.07,0.52,0,0,63,,,https://www.housecanary.com/blog/what-is-the-value-of-my-home,124
how to find the value of a home,Informational,70,76,2.41,0.70,0,0,58,,,https://www.housecanary.com/blog/what-is-the-value-of-my-home,121
how to find the value of my property,Informational,70,76,3.73,0.67,0,0,57,,,https://www.housecanary.com/blog/what-is-the-value-of-my-home,108
how to find your house worth,Informational,70,82,3.26,0.72,0,0,58,,,https://www.housecanary.com/blog/what-is-the-value-of-my-home,179
how to get assumable mortgage,Informational,70,50,1.87,0.17,0,0,27,,,https://www.housecanary.com/blog/assumable-mortgage,132
how to see how much my house is worth,Informational,70,75,3.58,0.70,0,0,68,,,https://www.housecanary.com/blog/what-is-the-value-of-my-home,133
how to time luxury home purchases for investment returns,Informational,70,10,0.00,0.00,0,0,22,,,https://www.housecanary.com/blog/how-to-proactively-track-investment-property-performance,133
in the capitalization formula what does the i stand for,Informational,70,25,0.00,0.33,0,0,7,,,https://www.housecanary.com/blog/cap-rate,134
is house market going up,Informational,70,91,0.98,0.06,0,0,20,,,https://www.housecanary.com/blog/housing-market-predictions,181
is the housing market expected to crash,Informational,70,33,0.00,0.02,0,0,35,,,https://www.housecanary.com/blog/is-the-housing-market-going-to-crash,146
is the housing market going to crash again,Informational,70,20,0.00,0.04,0,0,27,,,https://www.housecanary.com/blog/is-the-housing-market-going-to-crash,121
is the housing market going to crash in 2021,Informational,70,34,0.00,0.33,0,0,21,,,https://www.housecanary.com/blog/is-the-housing-market-going-to-crash,171
is the housing market going to drop,Informational,70,42,1.65,0.05,0,0,44,,,https://www.housecanary.com/blog/is-the-housing-market-going-to-crash,122
is the housing market going up,Informational,70,51,0.98,0.06,0,0,20,,,https://www.housecanary.com/blog/housing-market-predictions,170
is the real estate market going up,Informational,70,81,0.98,0.06,0,0,19,,,https://www.housecanary.com/blog/housing-market-predictions,182
latest real estate trends,Informational,70,63,1.59,0.20,0,0,46,,,https://www.housecanary.com/blog/real-estate-market-trends,137
lead generation sites for realtors,"Commercial, Informational",70,28,0.00,0.33,0,0,12,,,https://www.housecanary.com/blog/best-lead-generation-for-realtors,124
lead generation tools for real estate agents,"Commercial, Informational",70,24,29.28,0.33,0,0,3,,,https://www.housecanary.com/blog/best-lead-generation-for-realtors,146
leading property management platforms open api integrations,Informational,70,10,0.00,0.00,0,0,24,,,https://www.housecanary.com/blog/real-estate-api,133
lenders valuation services,Informational,70,15,6.49,0.11,0,0,39,,,https://www.housecanary.com/industries/private-money-lenders,127
machine a capping rate,"Commercial, Informational",70,0,0.00,0.00,0,0,64,,,https://www.housecanary.com/blog/cap-rate,526000000
market intelligence platforms real estate investment firms,Informational,70,29,0.00,0.00,0,0,5,,,https://www.housecanary.com/blog/real-estate-investment-software,136
market rent analysis tools for apartment pricing decisions,Informational,70,19,0.00,0.00,0,0,74,,,https://www.housecanary.com/blog/find-perfect-rent-rate-housecanary-rental-cma,177
market value my house,Informational,70,77,3.40,0.71,0,0,45,,,https://www.housecanary.com/blog/what-is-the-value-of-my-home,138
market value of house,Informational,70,77,2.56,0.60,0,0,49,,,https://www.housecanary.com/blog/what-is-the-value-of-my-home,138
mls database api,Informational,70,10,4.03,0.54,0,0,27,,,https://www.housecanary.com/blog/real-estate-api,101
mortgage avm,Informational,70,34,8.25,0.09,0,0,19,,,https://www.housecanary.com/blog/automated-valuation-model,109
mortgage loan assumption process,Informational,70,37,0.11,0.17,0,0,32,,,https://www.housecanary.com/blog/assumable-mortgage,132
mortgage portfolio monitoring,Informational,70,10,0.00,0.33,0,0,18,,,https://www.housecanary.com/products/portfolio-monitoring,142
mortgage sales conversion rate,Informational,70,0,0.00,0.00,0,0,87,,,https://www.housecanary.com/industries/private-money-lenders,107
mortgage sales data analysis,Informational,70,21,0.00,0.00,0,0,65,,,https://www.housecanary.com/industries/private-money-lenders,138
mortgage team refinance monitoring platforms evaluation,Informational,70,9,0.00,0.00,0,0,58,,,https://www.housecanary.com/industries/private-money-lenders,127
most reliable housing market data companies,Informational,70,63,0.00,0.00,0,0,3,,,https://www.housecanary.com/,129
msr valuations,Informational,70,14,0.00,0.01,0,0,54,,,https://www.housecanary.com/industries/private-money-lenders,175
multimodal real estate valuation datasets benchmarks,Informational,70,13,0.00,0.00,0,0,37,,,https://www.housecanary.com/resources/our-dna,116
myreaa,Informational,70,21,0.00,0.33,0,0,30,,,https://www.housecanary.com/,1060
nar 2050 home price forecast,Transactional,70,31,2.49,0.03,0,0,36,,,https://www.housecanary.com/blog/housing-market-predictions,108
new real estate data apis 2026,"Commercial, Informational",70,9,0.00,0.00,0,0,1,,,https://www.housecanary.com/blog/real-estate-api,125
next housing bubble crash,Informational,70,30,0.00,0.01,0,0,39,,,https://www.housecanary.com/blog/is-the-housing-market-going-to-crash,155
next housing collapse,Informational,70,39,0.00,0.03,0,0,33,,,https://www.housecanary.com/blog/is-the-housing-market-going-to-crash,123
next housing crash,Informational,70,40,0.00,0.33,0,0,20,,,https://www.housecanary.com/blog/is-the-housing-market-going-to-crash,129
noi cap rate formula,Informational,70,31,0.30,0.33,0,0,11,,,https://www.housecanary.com/blog/cap-rate,128
normal cap rate,Informational,70,44,0.63,0.07,0,0,49,,,https://www.housecanary.com/blog/cap-rate,128
northspyre pricing,"Navigational, Transactional",70,11,18.32,0.52,0,0,30,,,https://www.housecanary.com/pricing,109
priperty value,Informational,70,74,2.50,0.42,0,0,23,,,https://www.housecanary.com/blog/what-is-the-value-of-my-home,140
pro forma cap rate meaning,Informational,70,3,0.11,0.25,0,0,23,,,https://www.housecanary.com/blog/cap-rate,135
projected home prices,Transactional,70,52,1.92,0.22,0,0,26,,,https://www.housecanary.com/blog/housing-market-predictions,1830
property intelligence software,Informational,70,22,0.00,0.00,0,0,54,,,https://www.housecanary.com/,135
property investors software,Informational,70,29,16.90,0.09,0,0,6,,,https://www.housecanary.com/blog/real-estate-investment-software,121
property management abbreviation,Informational,70,0,0.00,0.33,0,0,19,,,https://www.housecanary.com/blog/alphabet-soup-real-estate-acronyms-decoded,112
property market trends,Informational,70,82,0.00,0.33,0,0,36,,,https://www.housecanary.com/blog/real-estate-market-trends,142
property monitor,Navigational,70,20,14.93,0.06,0,0,25,,,https://www.housecanary.com/products/portfolio-monitoring,174
property portfolio analysis,Informational,70,10,0.00,0.13,0,0,21,,,https://www.housecanary.com/blog/how-to-proactively-track-investment-property-performance,108
property software for investment managers,Informational,70,35,0.00,0.33,0,0,15,,,https://www.housecanary.com/blog/real-estate-investment-software,154
property technology companies external homemover data integration,Informational,70,0,0.00,0.00,0,0,19,,,https://www.housecanary.com/blog/real-estate-api,37500
property valuation workflow platforms for u.s. mortgage lenders,Informational,70,16,0.00,0.00,0,0,12,,,https://www.housecanary.com/blog/real-estate-investment-software,85
pros and cons of assumable mortgage,Informational,70,53,3.26,0.09,0,0,14,,,https://www.housecanary.com/blog/assumable-mortgage,131
prperty value,Informational,70,50,2.50,0.42,0,0,23,,,https://www.housecanary.com/blog/what-is-the-value-of-my-home,143
real estate 2025,Informational,70,62,0.00,0.33,0,0,19,,,https://www.housecanary.com/blog/real-estate-market-trends,125
real estate abbreviations list,Informational,70,15,0.00,0.01,0,0,20,,,https://www.housecanary.com/blog/alphabet-soup-real-estate-acronyms-decoded,135
real estate ai answering,Informational,70,26,0.00,0.00,0,0,8,,,https://www.housecanary.com/blog/5-ai-tools-for-real-estate-agents,127
real estate aum,Informational,70,21,0.00,0.14,0,0,39,,,https://www.housecanary.com/blog/real-estate-asset-management,107
real estate bubble 2025,Informational,70,65,0.00,0.00,0,0,33,,,https://www.housecanary.com/blog/is-the-housing-market-going-to-crash,129
real estate cap rate formula,Informational,70,39,0.60,0.27,0,0,31,,,https://www.housecanary.com/blog/cap-rate,137
real estate comp analysis,Informational,70,38,4.93,0.49,0,0,24,,,https://www.housecanary.com/blog/comparative-market-analysis-tool,128
real estate comparative market analysis tool,Informational,70,20,9.46,0.41,0,0,14,,,https://www.housecanary.com/blog/comparative-market-analysis-tool,125
real estate data aggregation,Informational,70,0,0.00,0.00,0,0,23,,,https://www.housecanary.com/blog/real-estate-api,128
real estate data software,Informational,70,40,14.24,0.31,0,0,13,,,https://www.housecanary.com/blog/real-estate-investment-software,117
real estate data visualization,Informational,70,9,0.00,0.33,0,0,54,,,https://www.housecanary.com/,144
real estate database api,Informational,70,26,0.00,0.00,0,0,4,,,https://www.housecanary.com/blog/real-estate-api,129
real estate heat map tool,Informational,70,11,0.00,0.17,0,0,33,,,https://www.housecanary.com/products/data-explorer,136
real estate home value,Informational,70,73,2.02,0.54,0,0,33,,,https://www.housecanary.com/blog/what-is-the-value-of-my-home,136
real estate housing market 2023,Informational,70,37,0.00,0.33,0,0,27,,,https://www.housecanary.com/blog/real-estate-market-trends,137
real estate investment data,Informational,70,23,4.68,0.17,0,0,15,,,https://www.housecanary.com/solutions/investment-insights,135
real estate investment portfolio management software,Informational,70,18,0.00,0.00,0,0,12,,,https://www.housecanary.com/blog/real-estate-investment-software,116
real estate investment software management,Informational,70,24,0.00,0.33,0,0,8,,,https://www.housecanary.com/blog/real-estate-investment-software,120
real estate investment trends usa,Informational,70,66,2.32,0.77,0,0,49,,,https://www.housecanary.com/blog/real-estate-market-trends,134
real estate investor lead generation software,Informational,70,31,0.00,0.00,0,0,7,,,https://www.housecanary.com/blog/best-lead-generation-for-realtors,120
real estate lead generation news,Informational,70,26,0.00,0.00,0,0,2,,,https://www.housecanary.com/blog/best-lead-generation-for-realtors,68
real estate leads system,Informational,70,25,23.58,0.07,0,0,8,,,https://www.housecanary.com/blog/best-lead-generation-for-realtors,132
real estate market crash 2025,Informational,70,30,0.00,0.00,0,0,14,,,https://www.housecanary.com/blog/is-the-housing-market-going-to-crash,122
real estate market in florida,Informational,70,45,1.26,0.11,0,0,22,,,https://www.housecanary.com/blog/florida-housing-market,133
real estate market intelligence,Informational,70,86,8.55,0.33,0,0,28,,,https://www.housecanary.com/,135
real estate market right now,Informational,70,93,2.28,0.13,0,0,37,,,https://www.housecanary.com/blog/real-estate-market-trends,202
real estate market trends 2023,Informational,70,68,0.00,0.14,0,0,14,,,https://www.housecanary.com/blog/real-estate-market-trends,141
real estate market trends april 2026,Informational,70,26,0.00,0.00,0,0,1,,,https://www.housecanary.com/blog/market-pulse-2026-april,129
real estate marketing trends current,Informational,70,25,0.00,0.00,0,0,56,,,https://www.housecanary.com/blog/real-estate-market-trends,134
real estate msa,Informational,70,22,0.00,0.02,0,0,17,,,https://www.housecanary.com/products/market-insights,139
real estate non disclosure,Informational,70,9,1.88,0.18,0,0,1,,,https://www.housecanary.com/blog/non-disclosure-states,136
real estate performance strategy,Informational,70,37,0.00,0.00,0,0,14,,,https://www.housecanary.com/blog/how-to-proactively-track-investment-property-performance,116
real estate predictions 2025,Informational,70,51,0.00,0.00,0,0,13,,,https://www.housecanary.com/blog/housing-market-predictions,136
real estate sellers leads,"Commercial, Informational",70,30,21.35,0.32,0,0,15,,,https://www.housecanary.com/blog/best-lead-generation-for-realtors,124
real estate software for global portfolios,Commercial,70,16,13.08,0.04,0,0,10,,,https://www.housecanary.com/blog/real-estate-investment-software,112
real estate trends us,Informational,70,84,1.83,0.62,0,0,49,,,https://www.housecanary.com/blog/real-estate-market-trends,135
real estate yield,Informational,70,17,0.00,0.05,0,0,11,,,https://www.housecanary.com/blog/rental-yield,99
realavm,Informational,70,27,4.59,0.66,0,0,80,,,https://www.housecanary.com/industries/capital-markets,118
realestate values,Informational,70,76,2.26,0.42,0,0,25,,,https://www.housecanary.com/blog/what-is-the-value-of-my-home,145
realtor com assumable mortgages,Navigational,70,49,1.47,0.12,0,0,17,,,https://www.housecanary.com/blog/assumable-mortgage,0
realtor lead generation ideas,Informational,70,21,0.00,0.37,0,0,16,,,https://www.housecanary.com/blog/best-lead-generation-for-realtors,125
realtor.com assumable mortgages,Navigational,70,49,0.00,0.08,0,0,18,,,https://www.housecanary.com/blog/assumable-mortgage,147
realtors leads,"Commercial, Informational",70,31,32.99,0.48,0,0,10,,,https://www.housecanary.com/blog/best-lead-generation-for-realtors,130
realtors valuation model,Informational,70,30,2.93,0.03,0,0,18,,,https://www.housecanary.com/blog/real-estate-avm-accuracy,151
realty listing abbreviations,Informational,70,1,0.00,0.01,0,0,21,,,https://www.housecanary.com/blog/alphabet-soup-real-estate-acronyms-decoded,130
recent trends in real estate,Informational,70,76,1.69,0.11,0,0,62,,,https://www.housecanary.com/blog/real-estate-market-trends,128
rent yield,Informational,70,29,0.00,0.33,0,0,15,,,https://www.housecanary.com/blog/rental-yield,129
rental cma,Informational,70,2,6.45,0.17,0,0,23,,,https://www.housecanary.com/blog/find-perfect-rent-rate-housecanary-rental-cma,108
rental property rate of return,Informational,70,31,1.03,0.11,0,0,36,,,https://www.housecanary.com/blog/rental-yield,131
rental property return,Informational,70,38,1.28,0.07,0,0,38,,,https://www.housecanary.com/blog/rental-yield,137
rental rate of return,Informational,70,40,0.00,0.07,0,0,43,,,https://www.housecanary.com/blog/rental-yield,138
rental revenue,Informational,70,30,5.73,0.05,0,0,48,,,https://www.housecanary.com/blog/rental-yield,131
residential cap rates,Informational,70,31,0.00,0.04,0,0,15,,,https://www.housecanary.com/blog/cap-rate,138
residential real estate analytics,Informational,70,27,5.83,0.66,0,0,1,,,https://www.housecanary.com/,136
resimate,Navigational,70,34,2.47,0.38,0,0,47,,,https://www.housecanary.com/,109
richer values,Navigational,70,28,0.00,0.33,0,0,11,,,https://www.housecanary.com/,112
sales yield,Informational,70,21,0.00,0.33,0,0,43,,,https://www.housecanary.com/blog/rental-yield,120
seller lead generation,Informational,70,25,4.99,0.12,0,0,2,,,https://www.housecanary.com/blog/best-lead-generation-for-realtors,107
seller lead generation real estate,Informational,70,28,30.05,0.28,0,0,7,,,https://www.housecanary.com/blog/best-lead-generation-for-realtors,126
seller real estate leads,Commercial,70,28,30.05,0.28,0,0,13,,,https://www.housecanary.com/blog/best-lead-generation-for-realtors,123
seminal papers automated valuation models avm real estate,Informational,70,31,0.00,0.00,0,0,14,,,https://www.housecanary.com/blog/automated-valuation-model,120
signs of real estate market crash,Informational,70,32,0.00,0.33,0,0,39,,,https://www.housecanary.com/blog/is-the-housing-market-going-to-crash,171
signs the housing market is going to crash,Informational,70,27,0.00,0.33,0,0,15,,,https://www.housecanary.com/blog/is-the-housing-market-going-to-crash,117
smarty valuation,"Informational, Navigational",70,12,0.00,0.33,0,0,36,,,https://www.housecanary.com/products/agile-insights,99
software real estate agent,Commercial,70,35,9.21,0.10,0,0,13,,,https://www.housecanary.com/blog/5-ai-tools-for-real-estate-agents,122
supply net ai procurement automation construction real estate,Informational,70,18,0.00,0.00,0,0,49,,,https://www.housecanary.com/blog/5-ai-tools-for-real-estate-agents,11900000
sustainable builders housing data platforms,Informational,70,7,0.00,0.00,0,0,90,,,https://www.housecanary.com/,294000000
take over a mortgage,Informational,70,48,3.39,0.30,0,0,25,,,https://www.housecanary.com/blog/assumable-mortgage,134
take over payment homes,Commercial,70,49,3.74,0.41,0,0,28,,,https://www.housecanary.com/blog/assumable-mortgage,129
take over payment house,Commercial,70,46,3.74,0.41,0,0,24,,,https://www.housecanary.com/blog/assumable-mortgage,128
texture drift quasar review buy homes-are-us.com,Commercial,70,19,0.00,0.33,0,0,29,,,https://www.housecanary.com/resources/our-dna,45500
thathome,Navigational,70,6,4.46,0.10,0,0,39,,,https://www.housecanary.com/solutions/comehome,116
tiny house market growth us 2025 2026 forecast,Informational,70,38,0.00,0.00,0,0,38,,,https://www.housecanary.com/blog/housing-market-predictions,121
tools for listing agents,Informational,70,27,0.00,0.00,0,0,7,,,https://www.housecanary.com/blog/best-lead-generation-for-realtors,134
tools for real estate investors,Informational,70,23,7.22,0.46,0,0,4,,,https://www.housecanary.com/blog/real-estate-investment-software,128
top lead generation real estate,"Commercial, Informational",70,28,13.32,0.51,0,0,11,,,https://www.housecanary.com/blog/best-lead-generation-for-realtors,175
top vendors automated valuation models u.s. mortgage lenders home equity,"Commercial, Informational",70,21,0.00,0.00,0,0,54,,,https://www.housecanary.com/industries/private-money-lenders,106
trends shaping the real estate industry,Informational,70,35,0.00,0.33,0,0,51,,,https://www.housecanary.com/blog/real-estate-market-trends,110
typical cap rate,Informational,70,36,0.73,0.06,0,0,11,,,https://www.housecanary.com/blog/cap-rate,134
understanding capitalization rates,Informational,70,23,0.29,0.55,0,0,32,,,https://www.housecanary.com/blog/cap-rate,127
us housing market report may 2026,Informational,70,-1,0.00,0.00,0,0,20,,,https://www.housecanary.com/blog/market-pulse-2026-may,132
us housing market trends june 2026,Informational,70,38,0.00,0.00,0,0,16,,,https://www.housecanary.com/blog/market-pulse-2026-june,126
us median home price may 2026,Transactional,70,96,0.00,0.00,0,0,19,,,https://www.housecanary.com/blog/market-pulse-2026-may,129
us real estate market trends may 2026,Informational,70,31,0.00,0.00,0,0,18,,,https://www.housecanary.com/blog/market-pulse-2026-may,133
useownerly,Informational,70,31,0.00,0.33,0,0,22,,,https://www.housecanary.com/,106
valuation of home,Informational,70,77,2.31,0.48,0,0,20,,,https://www.housecanary.com/blog/what-is-the-value-of-my-home,132
values of properties,Informational,70,43,3.13,0.43,0,0,45,,,https://www.housecanary.com/blog/what-is-the-value-of-my-home,132
what 1 million dollars can buy,Informational,70,11,0.00,0.01,0,0,22,,,https://www.housecanary.com/blog/one-million-dollars-what-it-buys-in-united-states-housing-market,163
what cap rate,Informational,70,32,0.13,0.18,0,0,13,,,https://www.housecanary.com/blog/cap-rate,128
what happens to homeowners if the housing market crashes,Informational,70,35,0.00,0.01,0,0,46,,,https://www.housecanary.com/blog/is-the-housing-market-going-to-crash,156
what house is worth,Informational,70,76,2.36,0.40,0,0,45,,,https://www.housecanary.com/blog/what-is-the-value-of-my-home,137
what is a cap rate mean,Informational,70,40,0.11,0.34,0,0,19,,,https://www.housecanary.com/blog/cap-rate,133
what is an assumption loan,Informational,70,46,0.08,0.06,0,0,27,,,https://www.housecanary.com/blog/assumable-mortgage,135
what is cap rate definition,Informational,70,42,0.11,0.34,0,0,21,,,https://www.housecanary.com/blog/cap-rate,136
what is capitalization rate in real estate,Informational,70,34,0.12,0.24,0,0,13,,,https://www.housecanary.com/blog/cap-rate,134
what is collateral analytics,Informational,70,27,0.00,0.33,0,0,52,,,https://www.housecanary.com/products/agile-insights,112
what is fair rental value,Informational,70,13,0.00,0.33,0,0,51,,,https://www.housecanary.com/blog/find-perfect-rent-rate-housecanary-rental-cma,121
what is good rental yield,Informational,70,35,0.00,0.02,0,0,7,,,https://www.housecanary.com/blog/rental-yield,152
what is market value of my home,Informational,70,76,2.71,0.67,0,0,40,,,https://www.housecanary.com/blog/what-is-the-value-of-my-home,133
what is meant by cap rate,Informational,70,40,0.11,0.34,0,0,22,,,https://www.housecanary.com/blog/cap-rate,136
what is my house worht,Informational,70,77,2.88,0.61,0,0,53,,,https://www.housecanary.com/blog/what-is-the-value-of-my-home,135
what is the fair rental value of my home,Informational,70,29,3.18,0.58,0,0,31,,,https://www.housecanary.com/blog/find-perfect-rent-rate-housecanary-rental-cma,138
what is the housing market expected to do in 2026,Informational,70,48,1.32,0.16,0,0,17,,,https://www.housecanary.com/blog/housing-market-predictions,124
what is the meaning of cap rate,Informational,70,42,0.11,0.34,0,0,26,,,https://www.housecanary.com/blog/cap-rate,132
what is the property value of my house,Informational,70,75,2.82,0.65,0,0,24,,,https://www.housecanary.com/blog/what-is-the-value-of-my-home,139
what is the real estate market doing,Informational,70,69,1.47,0.25,0,0,36,,,https://www.housecanary.com/blog/real-estate-market-trends,205
what is the replacement value of my home,Informational,70,51,7.07,0.72,0,0,76,,,https://www.housecanary.com/blog/what-is-the-value-of-my-home,134
